vendor_id,vendor_name,notification_id,cohort,persona,scenario,intended_status,intended_reason,intended_failed_clause,blacklisted,borderline,writeup_quality,pages,bytes,sha256,file,generated
DEMO_NOTIF_civilworks_01_01,Parasnath Civil Projects Private Limited,NOTIF_civilworks_01,A,Established regional contractor,1,pass,,,False,False,strong,63,95990,f099839bb368a1a358a193f9edd9f7a3d03346256c3bfbdce1c7c3bcd8c14033,DEMO_NOTIF_civilworks_01_01.pdf,2026-09-08
DEMO_NOTIF_civilworks_01_02,Damodar Buildcraft Private Limited,NOTIF_civilworks_01,A,Established regional contractor,2,eliminate,"Largest similar completed work Rs. 6.4 Lakh is below the required Rs. 10,05,249 (80% of estimated cost)",1.1(4),False,False,weak,61,93037,b0f44e1fe996e0ad14f5734f7d18d46554b1db24f1a24bcc7075909a1ff8cea6,DEMO_NOTIF_civilworks_01_02.pdf,2026-09-08
DEMO_NOTIF_civilworks_01_03,Chotanagpur Engineering Private Limited,NOTIF_civilworks_01,A,Established regional contractor,3,eliminate,Valid Class II/III Digital Signature Certificate not enclosed,2.6(b),False,False,strong,63,96097,1921576ca655cfc9883d864b457cc834462183f9b9473b1246c091e2576695c0,DEMO_NOTIF_civilworks_01_03.pdf,2026-09-08
DEMO_NOTIF_civilworks_01_04,Barakar Infrastructure Private Limited,NOTIF_civilworks_01,A,Established regional contractor,4,eliminate,"Average annual turnover Rs. 3,20,000 is below the required Rs. 3,76,968 (30% of estimated cost)",1,False,False,weak,61,92771,aeb345227004cb0c398b783cc782f989a4b501ce05be59462bdc8f1d9f2afd4a,DEMO_NOTIF_civilworks_01_04.pdf,2026-09-08
DEMO_NOTIF_civilworks_01_05,Shikhar Boundary Systems Private Limited,NOTIF_civilworks_01,A,Established regional contractor,5,pass,,,False,True,weak,61,92973,a44cf3f44888c1ddd774b24cc5e2ad811d22bb3ee7a7d51faaedb1639274e04f,DEMO_NOTIF_civilworks_01_05.pdf,2026-09-08
DEMO_NOTIF_civilworks_01_06,Parasnath Civil Projects LLP,NOTIF_civilworks_01,B,Growth-stage specialist bidder,1,pass,,,False,False,strong,63,95728,f3d739086bcd2acd8b9c5c94818d7a0d565765c3ccd23d3492b888ce0dc4a9ad,DEMO_NOTIF_civilworks_01_06.pdf,2026-09-08
DEMO_NOTIF_civilworks_01_07,Damodar Buildcraft LLP,NOTIF_civilworks_01,B,Growth-stage specialist bidder,2,eliminate,"Largest similar completed work Rs. 6.4 Lakh is below the required Rs. 10,05,249 (80% of estimated cost)",1.1(4),False,False,weak,61,92760,952580f75bb8da11d31ceb8f558d6acf7306ad84ab470e621abeb0181a938c73,DEMO_NOTIF_civilworks_01_07.pdf,2026-09-08
DEMO_NOTIF_civilworks_01_08,Chotanagpur Engineering LLP,NOTIF_civilworks_01,B,Growth-stage specialist bidder,3,eliminate,Valid Class II/III Digital Signature Certificate not enclosed,2.6(b),False,False,strong,63,95820,b9ee31612980bf11559e187a63fb934f11cd517339aa71f74a32e1c9e69e7379,DEMO_NOTIF_civilworks_01_08.pdf,2026-09-08
DEMO_NOTIF_civilworks_01_09,Barakar Infrastructure LLP,NOTIF_civilworks_01,B,Growth-stage specialist bidder,4,eliminate,"Average annual turnover Rs. 3,20,000 is below the required Rs. 3,76,968 (30% of estimated cost)",1,False,False,weak,61,92464,f06b98e1bdcbf027057b525af484815f797c2f581405b09b38140ca0ea72694d,DEMO_NOTIF_civilworks_01_09.pdf,2026-09-08
DEMO_NOTIF_civilworks_01_10,Shikhar Boundary Systems LLP,NOTIF_civilworks_01,B,Growth-stage specialist bidder,5,pass,,,False,True,weak,61,92696,d09143652a3007e65b510d0d63945e138529e3a3f31f7914de658af25463e95f,DEMO_NOTIF_civilworks_01_10.pdf,2026-09-08
