vendor_id,vendor_name,notification_id,cohort,persona,scenario,intended_status,intended_reason,intended_failed_clause,blacklisted,borderline,writeup_quality,pages,bytes,sha256,file,generated
DEMO_NOTIF_civilworks_02_01,Arka Solar EPC Private Limited,NOTIF_civilworks_02,A,Established regional contractor,1,pass,,,False,False,strong,172,277203,ec56bea979cd0e749c5d3913734b537d2e6877d75fbfc149852adfc9fcf13ca6,DEMO_NOTIF_civilworks_02_01.pdf,2026-09-08
DEMO_NOTIF_civilworks_02_02,Suryanet Renewables Private Limited,NOTIF_civilworks_02,A,Established regional contractor,2,eliminate,Liquid assets and credit facilities of Rs. 18.40 Crores are below the required Rs. 49.855 Crores,28.1 vi),False,False,weak,170,274714,1a2d939de20a4ca26e12692ed8fcc99f83c567f498765516996d91b90ec5e76d,DEMO_NOTIF_civilworks_02_02.pdf,2026-09-08
DEMO_NOTIF_civilworks_02_03,Deccan Grid Projects Private Limited,NOTIF_civilworks_02,A,Established regional contractor,3,eliminate,Declaration regarding the procurement of Solar Inverters & Solar Modules not enclosed,—,False,False,strong,172,277595,b7a5a482b4bee552d70d1b29485f0e7a11647e70c9b032a896ad24d638316b70,DEMO_NOTIF_civilworks_02_03.pdf,2026-09-08
DEMO_NOTIF_civilworks_02_04,HelioSpan Infrastructure Private Limited,NOTIF_civilworks_02,A,Established regional contractor,4,eliminate,Bidder is under liquidation proceedings and is debarred,2.3,True,False,weak,170,274769,74d3c6a9d618b30f4c63202102ea6454a4aaa68582c28f11070f5e175fa453ee,DEMO_NOTIF_civilworks_02_04.pdf,2026-09-08
DEMO_NOTIF_civilworks_02_05,Pragati Energy Works Private Limited,NOTIF_civilworks_02,A,Established regional contractor,5,pass,,,False,True,weak,170,274706,caad3dc77278f424d82d52cc5f68f5cd064324f43a29527754e7642c055573c2,DEMO_NOTIF_civilworks_02_05.pdf,2026-09-08
DEMO_NOTIF_civilworks_02_06,Arka Solar EPC LLP,NOTIF_civilworks_02,B,Growth-stage specialist bidder,1,pass,,,False,False,strong,172,276173,deeab12b342076165d73e933eb5f373d5442996a3cf3e79c441e300593f0a73c,DEMO_NOTIF_civilworks_02_06.pdf,2026-09-08
DEMO_NOTIF_civilworks_02_07,Suryanet Renewables LLP,NOTIF_civilworks_02,B,Growth-stage specialist bidder,2,eliminate,Liquid assets and credit facilities of Rs. 18.40 Crores are below the required Rs. 49.855 Crores,28.1 vi),False,False,weak,170,273686,d619793d9597c63582606d3aecb153763e11a5609cfac944c40ae988b4bee439,DEMO_NOTIF_civilworks_02_07.pdf,2026-09-08
DEMO_NOTIF_civilworks_02_08,Deccan Grid Projects LLP,NOTIF_civilworks_02,B,Growth-stage specialist bidder,3,eliminate,Declaration regarding the procurement of Solar Inverters & Solar Modules not enclosed,—,False,False,strong,172,276583,11e4784ff5cb27a9ea73b1ff22592936e75b330115eaf1e12f986e78739f901f,DEMO_NOTIF_civilworks_02_08.pdf,2026-09-08
DEMO_NOTIF_civilworks_02_09,HelioSpan Infrastructure LLP,NOTIF_civilworks_02,B,Growth-stage specialist bidder,4,eliminate,Bidder is under liquidation proceedings and is debarred,2.3,True,False,weak,170,273765,faebb808b7b48923d1df103f20c7f6b2a402e4ffe60faac90b438b30bc31badc,DEMO_NOTIF_civilworks_02_09.pdf,2026-09-08
DEMO_NOTIF_civilworks_02_10,Pragati Energy Works LLP,NOTIF_civilworks_02,B,Growth-stage specialist bidder,5,pass,,,False,True,weak,170,273669,6f73827249d227a1ac2287ae965bf02f676a260fbfe6a1a53aef9da2be9ddf1a,DEMO_NOTIF_civilworks_02_10.pdf,2026-09-08
DEMO_NOTIF_civilworks_02_11,Arka Solar EPC Projects India Limited,NOTIF_civilworks_02,C,Multi-state procurement participant,1,pass,,,False,False,strong,172,277782,945d50b8b3490d29a6fd1971704231dc8ed7d7222bb6381efbf18eccaceedcf8,DEMO_NOTIF_civilworks_02_11.pdf,2026-09-08
DEMO_NOTIF_civilworks_02_12,Suryanet Renewables Projects India Limited,NOTIF_civilworks_02,C,Multi-state procurement participant,2,eliminate,Liquid assets and credit facilities of Rs. 18.40 Crores are below the required Rs. 49.855 Crores,28.1 vi),False,False,weak,170,275404,3f4d2a27e636a3fb5eaaf13b4e4b7458c7c4162c4fe4dfc7839f64da85a0b4bb,DEMO_NOTIF_civilworks_02_12.pdf,2026-09-08
DEMO_NOTIF_civilworks_02_13,Deccan Grid Projects Projects India Limited,NOTIF_civilworks_02,C,Multi-state procurement participant,3,eliminate,Declaration regarding the procurement of Solar Inverters & Solar Modules not enclosed,—,False,False,strong,172,277673,54edb50922c397d255b36ca825e3f8176d7a0901fab94ed5bb7a9763a83982a4,DEMO_NOTIF_civilworks_02_13.pdf,2026-09-08
DEMO_NOTIF_civilworks_02_14,HelioSpan Infrastructure Projects India Limited,NOTIF_civilworks_02,C,Multi-state procurement participant,4,eliminate,Bidder is under liquidation proceedings and is debarred,2.3,True,False,weak,170,275246,4620664fc5f64a2c397c6b9367041b3657a59f23a0466c7b1902ce70eb1dd31b,DEMO_NOTIF_civilworks_02_14.pdf,2026-09-08
DEMO_NOTIF_civilworks_02_15,Pragati Energy Works Projects India Limited,NOTIF_civilworks_02,C,Multi-state procurement participant,5,pass,,,False,True,weak,170,275336,5886eb697fe4d64bc9b059d65be3adb63d1c028046b64099db5f9548cd3f7be6,DEMO_NOTIF_civilworks_02_15.pdf,2026-09-08
